"short_name","npc_name","respawn_seconds"
"wakening","Shamus Aghllsews",""
"wakening","a corrupted unicorn",""
"wakening","a storm giant architect",""
"warrens","Cave Bat Lord","2880"
"warrens","Foodmaster Rargnar","1200"
"warrens","Grodl Ripclaw",""
"warrens","High Shaman Drogik","2880"
"warrens","Huntmaster Furgrl","2880"
"warrens","Jailer Mkrarrg",""
"warrens","King Gragnar","2880"
"warrens","a kobold fisherman",""
"warrens","Krode the Diviner",""
"warrens","Lorekeeper Roggik","2880"
"warrens","The Mighty Bear Paw",""
"warrens","Muglwump",""
"warrens","Packmaster Dledsh","960"
"warrens","Prince Bragnar","3420"
"warrens","Smithy Rrarrgin","1200"
"warrens","Trainer Daxgrr","1200"
"warrens","Warlord Drrig","780"
"warslikswood","A shady goblin",""
"warslikswood","Grachnist the Destroyer",""
"warslikswood","Pit Fighter Dob",""
"warslikswood","Ssolet Dnaas",""
"warslikswood","Iksar Knight",""
"warslikswood","Iksar Bandit Lord",""
"westwastes","Atpaev","30600"
"westwastes","Ayillish","28800"
"westwastes","Bratavar",""
"westwastes","Bufa","30600"
"westwastes","Cargalia",""
"westwastes","Del Sapara",""
"westwastes","Derasinal",""
"westwastes","Draazak","28800"
"westwastes","Entariz","28800"
"westwastes","Esorpa of the Ring",""
"westwastes","Gafala",""
"westwastes","Gangel","30600"
"westwastes","Glati",""
"westwastes","Harla Dar","10800"
"westwastes","Hechaeva",""
"westwastes","Honvar","30600"
"westwastes","Ionat","28800"
"westwastes","Jen Sapara","28800"
"westwastes","Kar Sapara","28800"
"westwastes","Karkona","28800"
"westwastes","Klandicar",""
"westwastes","Linbrak","30600"
"westwastes","Makala","30600"
"westwastes","Mazi",""
"westwastes","Melalafen",""
"westwastes","Myga",""
"westwastes","Neordla",""
"westwastes","Nintal",""
"westwastes","Onava","30600"
"westwastes","Pantrilla",""
"westwastes","Quoza","30600"
"westwastes","Sivar","30600"
"westwastes","Sontalak",""
"westwastes","Uiliak","30600"
"westwastes","Vitaela",""
"westwastes","Von",""
"westwastes","Vraptin",""
"westwastes","Yal","30600"
"westwastes","Yeldema",""
"westwastes","Zil Sapara",""
"westwastes","Icehackle",""
"westwastes","Makil Rargon",""
"westwastes","Mraaka",""
"westwastes","Scout Charisa",""
"westwastes","Strong Horn",""
"westwastes","Tantor",""
"westwastes","The Dragon Sage",""
"westwastes","Tranala",""
"westwastes","Tsiraka",""
"westwastes","a Kromzek Captain",""
